"disc_number","duration_ms.x","explicit","href","id","is_local","name","popularity","preview_url","track_number","type.x","uri.x","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type.y","uri.y","track_href","analysis_url","duration_ms.y","time_signature","listener"
1,188598,FALSE,"https://api.spotify.com/v1/tracks/3BA4y1ENVDOeT7XP82sk09","3BA4y1ENVDOeT7XP82sk09",FALSE,"Light Rain",60,"https://p.scdn.co/mp3-preview/af286f82e373fb78ec47fe6f597fefebc1149494?cid=0a65c6ae76cc413aa20d89ccec00ef2e",28,"track","spotify:track:3BA4y1ENVDOeT7XP82sk09","COMPILATION","https://api.spotify.com/v1/albums/4YmNhD0y0D0jMa926HRizV","4YmNhD0y0D0jMa926HRizV","Sleep (Rain Sounds Compilation)","2017-05-05","day",29,"album","spotify:album:4YmNhD0y0D0jMa926HRizV","https://open.spotify.com/album/4YmNhD0y0D0jMa926HRizV","SE5IB1701227","https://open.spotify.com/track/3BA4y1ENVDOeT7XP82sk09",0.207,0.999,3,-15.08,0,0.049,0.137,0.998,0.85,0.00315,89.189,"audio_features","spotify:track:3BA4y1ENVDOeT7XP82sk09","https://api.spotify.com/v1/tracks/3BA4y1ENVDOeT7XP82sk09","https://api.spotify.com/v1/audio-analysis/3BA4y1ENVDOeT7XP82sk09",188598,5,"Si Han"
1,309226,FALSE,"https://api.spotify.com/v1/tracks/2vrCFIvEVzJos84kkylR3b","2vrCFIvEVzJos84kkylR3b",FALSE,"Turn Your Eyes - Live",47,"https://p.scdn.co/mp3-preview/12d7e38c610bb546951cf01bd73132f427ab30a8?cid=0a65c6ae76cc413aa20d89ccec00ef2e",1,"track","spotify:track:2vrCFIvEVzJos84kkylR3b","ALBUM","https://api.spotify.com/v1/albums/3rrC4b7AhmJhY0wYad5T5C","3rrC4b7AhmJhY0wYad5T5C","The Glorious Christ (Live)","2019-12-06","day",15,"album","spotify:album:3rrC4b7AhmJhY0wYad5T5C","https://open.spotify.com/album/3rrC4b7AhmJhY0wYad5T5C","QZGXC1900044","https://open.spotify.com/track/2vrCFIvEVzJos84kkylR3b",0.229,0.375,11,-8.967,1,0.0323,0.786,0,0.0953,0.155,99.919,"audio_features","spotify:track:2vrCFIvEVzJos84kkylR3b","https://api.spotify.com/v1/tracks/2vrCFIvEVzJos84kkylR3b","https://api.spotify.com/v1/audio-analysis/2vrCFIvEVzJos84kkylR3b",309227,3,"Si Han"
1,331838,FALSE,"https://api.spotify.com/v1/tracks/439tGS9rVbyTjj5SmneD56","439tGS9rVbyTjj5SmneD56",FALSE,"Yet Not I but Through Christ in Me",60,"https://p.scdn.co/mp3-preview/71ad659c176cb554aafaf7173a28181c67760651?cid=0a65c6ae76cc413aa20d89ccec00ef2e",1,"track","spotify:track:439tGS9rVbyTjj5SmneD56","SINGLE","https://api.spotify.com/v1/albums/1pOLJKpaVOTB28BjYD57Vc","1pOLJKpaVOTB28BjYD57Vc","Yet Not I but Through Christ in Me","2018-11-11","day",1,"album","spotify:album:1pOLJKpaVOTB28BjYD57Vc","https://open.spotify.com/album/1pOLJKpaVOTB28BjYD57Vc","TCADY1841528","https://open.spotify.com/track/439tGS9rVbyTjj5SmneD56",0.473,0.449,0,-8.63,1,0.0259,0.495,0,0.158,0.245,71.99,"audio_features","spotify:track:439tGS9rVbyTjj5SmneD56","https://api.spotify.com/v1/tracks/439tGS9rVbyTjj5SmneD56","https://api.spotify.com/v1/audio-analysis/439tGS9rVbyTjj5SmneD56",331839,4,"Si Han"
1,222333,FALSE,"https://api.spotify.com/v1/tracks/56wVfJKtnwlSZtC4NVgIrf","56wVfJKtnwlSZtC4NVgIrf",FALSE,"說好不哭",63,"https://p.scdn.co/mp3-preview/199d742bae744fb0bbcc8997044be4c2a633fca4?cid=0a65c6ae76cc413aa20d89ccec00ef2e",1,"track","spotify:track:56wVfJKtnwlSZtC4NVgIrf","SINGLE","https://api.spotify.com/v1/albums/1aNkIWX1Uz0mSUK3OAFygO","1aNkIWX1Uz0mSUK3OAFygO","說好不哭","2019-09-16","day",1,"album","spotify:album:1aNkIWX1Uz0mSUK3OAFygO","https://open.spotify.com/album/1aNkIWX1Uz0mSUK3OAFygO","TWK971901101","https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf",0.512,0.35,10,-11.843,1,0.0311,0.478,1.15e-06,0.0855,0.343,152.023,"audio_features","spotify:track:56wVfJKtnwlSZtC4NVgIrf","https://api.spotify.com/v1/tracks/56wVfJKtnwlSZtC4NVgIrf","https://api.spotify.com/v1/audio-analysis/56wVfJKtnwlSZtC4NVgIrf",222333,4,"Si Han"
1,304013,FALSE,"https://api.spotify.com/v1/tracks/6brwDSeJthAw2WvlcLWEXj","6brwDSeJthAw2WvlcLWEXj",FALSE,"Holy Spirit, Living Breath Of God/Gabriel's Oboe - Live",35,"https://p.scdn.co/mp3-preview/68833283d26fa47b720b0cbc097f2be60b85fe8e?cid=0a65c6ae76cc413aa20d89ccec00ef2e",15,"track","spotify:track:6brwDSeJthAw2WvlcLWEXj","ALBUM","https://api.spotify.com/v1/albums/6c2wV1wW3nTz45RcSvqphh","6c2wV1wW3nTz45RcSvqphh","Live At The Gospel Coalition","2013-01-01","day",16,"album","spotify:album:6c2wV1wW3nTz45RcSvqphh","https://open.spotify.com/album/6c2wV1wW3nTz45RcSvqphh","USY5K1300016","https://open.spotify.com/track/6brwDSeJthAw2WvlcLWEXj",0.244,0.249,2,-10.615,1,0.0318,0.785,1.03e-06,0.122,0.16,72.153,"audio_features","spotify:track:6brwDSeJthAw2WvlcLWEXj","https://api.spotify.com/v1/tracks/6brwDSeJthAw2WvlcLWEXj","https://api.spotify.com/v1/audio-analysis/6brwDSeJthAw2WvlcLWEXj",304013,4,"Si Han"
1,346346,FALSE,"https://api.spotify.com/v1/tracks/4irEfIEfEXuaPVOYDCw5Rm","4irEfIEfEXuaPVOYDCw5Rm",FALSE,"I Surrender",58,"https://p.scdn.co/mp3-preview/6f651482ccc1531cf781318cbe513ac061352b7f?cid=0a65c6ae76cc413aa20d89ccec00ef2e",4,"track","spotify:track:4irEfIEfEXuaPVOYDCw5Rm","ALBUM","https://api.spotify.com/v1/albums/5wBEavD9XYCXY6ALqFHeLW","5wBEavD9XYCXY6ALqFHeLW","Cornerstone (Live)","2012-07-03","day",13,"album","spotify:album:5wBEavD9XYCXY6ALqFHeLW","https://open.spotify.com/album/5wBEavD9XYCXY6ALqFHeLW","AUHS01204884","https://open.spotify.com/track/4irEfIEfEXuaPVOYDCw5Rm",0.269,0.521,5,-7.402,1,0.0338,0.023,0.00228,0.205,0.12,154.087,"audio_features","spotify:track:4irEfIEfEXuaPVOYDCw5Rm","https://api.spotify.com/v1/tracks/4irEfIEfEXuaPVOYDCw5Rm","https://api.spotify.com/v1/audio-analysis/4irEfIEfEXuaPVOYDCw5Rm",346347,3,"Si Han"
1,351718,FALSE,"https://api.spotify.com/v1/tracks/5yZcK6LIBxD6Ia5vYuEr6v","5yZcK6LIBxD6Ia5vYuEr6v",FALSE,"Come Thou Fount (Above All Else)",44,"https://p.scdn.co/mp3-preview/513a4d4aae0c4a748d549c283f0d7cf97c1b3981?cid=0a65c6ae76cc413aa20d89ccec00ef2e",4,"track","spotify:track:5yZcK6LIBxD6Ia5vYuEr6v","ALBUM","https://api.spotify.com/v1/albums/2LE9j1hE1bGMiRK4KUdiEF","2LE9j1hE1bGMiRK4KUdiEF","Hymns, Vol. 1","2018-09-07","day",10,"album","spotify:album:2LE9j1hE1bGMiRK4KUdiEF","https://open.spotify.com/album/2LE9j1hE1bGMiRK4KUdiEF","USDHM1818543","https://open.spotify.com/track/5yZcK6LIBxD6Ia5vYuEr6v",0.537,0.348,2,-9.276,1,0.0315,0.581,0,0.176,0.238,130.151,"audio_features","spotify:track:5yZcK6LIBxD6Ia5vYuEr6v","https://api.spotify.com/v1/tracks/5yZcK6LIBxD6Ia5vYuEr6v","https://api.spotify.com/v1/audio-analysis/5yZcK6LIBxD6Ia5vYuEr6v",351718,3,"Si Han"
1,339902,FALSE,"https://api.spotify.com/v1/tracks/7yTt2LCXmLFbERuC4cSL88","7yTt2LCXmLFbERuC4cSL88",FALSE,"No Longer Slaves (Live)",37,"https://p.scdn.co/mp3-preview/2f66afc8e96196248da50d45d01c9b1df5081bf5?cid=0a65c6ae76cc413aa20d89ccec00ef2e",12,"track","spotify:track:7yTt2LCXmLFbERuC4cSL88","ALBUM","https://api.spotify.com/v1/albums/3UzKQzSKz9lo1rGBDm7iFv","3UzKQzSKz9lo1rGBDm7iFv","Psalms Live","2016-11-24","day",13,"album","spotify:album:3UzKQzSKz9lo1rGBDm7iFv","https://open.spotify.com/album/3UzKQzSKz9lo1rGBDm7iFv","USDHM1699912","https://open.spotify.com/track/7yTt2LCXmLFbERuC4cSL88",0.467,0.583,9,-6.601,1,0.0309,0.0967,0.000238,0.372,0.281,147.688,"audio_features","spotify:track:7yTt2LCXmLFbERuC4cSL88","https://api.spotify.com/v1/tracks/7yTt2LCXmLFbERuC4cSL88","https://api.spotify.com/v1/audio-analysis/7yTt2LCXmLFbERuC4cSL88",339903,4,"Si Han"
1,444314,FALSE,"https://api.spotify.com/v1/tracks/1e58fEprNEGwk1Btxmfaac","1e58fEprNEGwk1Btxmfaac",FALSE,"Holy, Holy, Holy (We Bow Before Thee)",42,"https://p.scdn.co/mp3-preview/fb5536ca7409200b4e0249ac7d57dac348f736e3?cid=0a65c6ae76cc413aa20d89ccec00ef2e",6,"track","spotify:track:1e58fEprNEGwk1Btxmfaac","ALBUM","https://api.spotify.com/v1/albums/2LE9j1hE1bGMiRK4KUdiEF","2LE9j1hE1bGMiRK4KUdiEF","Hymns, Vol. 1","2018-09-07","day",10,"album","spotify:album:2LE9j1hE1bGMiRK4KUdiEF","https://open.spotify.com/album/2LE9j1hE1bGMiRK4KUdiEF","USDHM1818545","https://open.spotify.com/track/1e58fEprNEGwk1Btxmfaac",0.275,0.419,0,-8.667,1,0.0335,0.18,0.000816,0.117,0.11,71.161,"audio_features","spotify:track:1e58fEprNEGwk1Btxmfaac","https://api.spotify.com/v1/tracks/1e58fEprNEGwk1Btxmfaac","https://api.spotify.com/v1/audio-analysis/1e58fEprNEGwk1Btxmfaac",444314,4,"Si Han"
1,269781,FALSE,"https://api.spotify.com/v1/tracks/6SSRpCaF6xshmn86oJ9LmR","6SSRpCaF6xshmn86oJ9LmR",FALSE,"Amazing Grace (My Chains Are Gone) [Live]",39,"https://p.scdn.co/mp3-preview/58e7e19b12f9d330380c84b75d417152d1b27aca?cid=0a65c6ae76cc413aa20d89ccec00ef2e",6,"track","spotify:track:6SSRpCaF6xshmn86oJ9LmR","ALBUM","https://api.spotify.com/v1/albums/4q4dWDNJcrxHnjO8zo3spx","4q4dWDNJcrxHnjO8zo3spx","Hymns Live","2019-02-08","day",13,"album","spotify:album:4q4dWDNJcrxHnjO8zo3spx","https://open.spotify.com/album/4q4dWDNJcrxHnjO8zo3spx","USDHM1999906","https://open.spotify.com/track/6SSRpCaF6xshmn86oJ9LmR",0.269,0.382,7,-10.388,1,0.0307,0.772,7.8e-06,0.155,0.181,124.213,"audio_features","spotify:track:6SSRpCaF6xshmn86oJ9LmR","https://api.spotify.com/v1/tracks/6SSRpCaF6xshmn86oJ9LmR","https://api.spotify.com/v1/audio-analysis/6SSRpCaF6xshmn86oJ9LmR",269782,4,"Si Han"
